"ID","povertyRatio24","logPovertyRatio24","inPoverty24","college24","sex","birthYear","isLessAge14R1","isBlack","isHispanic","hasSibling","maxParentEducation","avgPovertyRatio18","logAvgPovertyRatio18","inPoverty18","livesWithMom","momSupport","momStrict","livesWithDad","dadSupport","dadStrict","safeEnv","pctPeersPositive","pctPeersNegative","schoolAbsent","schoolLate","schoolEnvironment","schoolViolence","teacherQuality","liesCheats","negativeEmotions","positiveOutlook"
245,2.16,0.770108221696074,0,0,1,4,1,0,0,1,12,2.54,0.932164081030445,0,1,1,1,1,2,1,1,0.6625,0.19,0,0,2,0,4,1,0,8
246,1.79,0.582215619852664,0,1,0,0,0,0,1,1,15,6.98,1.94304891677428,0,0,0,0,1,2,0,0,0.675,0.5,0,5,4,0,4,0,0,0
247,1.12,0.113328685307003,0,1,0,2,1,0,0,1,13,2.46666666666667,0.902867711542014,0,1,2,1,1,1,0,0,0.3875,0.41,3,0,4,1,4,1,0,7
248,4.09,1.40854497005471,0,1,1,3,1,0,0,1,13,1.95,0.667829372575655,0,1,2,1,1,1,0,1,0.6125,0.46,1,0,6,0,4,1,2,1
251,6.3,1.84054963339749,0,1,0,2,1,0,1,1,14,2.07,0.727548607277278,0,1,1,0,1,2,0,1,0.6,0.41,5,1,8,0,5,1,1,8
256,3.3,1.19392246847243,0,0,0,0,0,0,0,1,12,2.3,0.832909122935104,0,1,2,1,1,2,1,0,0.675,0.5,20,14,4,0,2,0,0,0
257,4.45,1.49290409617815,0,0,0,4,1,0,0,1,12,3.405,1.22524493960148,0,1,2,0,1,2,0,0,0.6875,0.26,4,4,6,0,4,0,0,10
258,1.43,0.357674444271816,0,1,0,2,1,0,0,0,14,3.59,1.27815220250019,0,1,2,0,1,2,0,1,0.675,0.5,1,1,6,0,4,1,0,6
265,3.56,1.26976054486394,0,0,0,3,1,0,1,1,6,1.045,0.0440168854167743,0,1,2,1,1,2,1,1,0.5625,0.13,0,0,3,1,4,0,1,4
266,3.43,1.23256026117785,0,0,1,0,0,0,0,1,14,2.93,1.07500242302898,0,1,1,1,1,1,1,1,0.5,0.5,1,3,5,0,4,0,0,0
267,3.25,1.17865499634165,0,1,1,0,0,0,0,0,13,2.53,0.928219302739429,0,1,2,1,1,2,1,1,0.5,0.6,0,0,5,0,4,0,0,0
271,0.85,-0.162518929497775,1,0,1,2,1,0,0,1,12,3.3,1.19392246847243,0,1,1,0,1,1,0,1,0.6125,0.33,7,27,4,1,4,2,0,6
274,2.61,0.959350221334602,0,0,1,0,0,0,1,1,5,0,-4.60517018598809,1,1,1,1,0,0,0,1,0.4875,0.5,14,2,3,1,3,0,0,0
275,3.35,1.20896034583698,0,0,0,0,0,0,1,1,0,1.14,0.131028262406404,0,1,1,1,1,1,1,1,0.55,0.05,4.88937492805341,2.39700714204739,5,0,4,0,0,0
276,2.42,0.883767540168595,0,0,1,2,1,0,1,1,5,1.61,0.476234178996372,0,1,1,0,0,0,0,1,0.4375,0.4,10,2,5,1,4,1,1,8
278,8.56,2.14710019015365,0,0,0,0,0,0,0,1,16,3.9,1.3609765531356,0,1,1,1,1,1,1,0,0.375,0.26,10,0,5,1,4,0,0,0
280,4.29,1.45628673293993,0,1,0,3,1,0,0,1,18,16.27,2.78932292123095,0,1,2,0,1,2,1,1,0.725,0.17,4,0,5,0,3,1,1,5
281,1.44,0.364643113587909,0,0,0,4,1,1,0,1,11,1.675,0.51581316527703,0,1,1,0,0,0,0,0,0.4375,0.13,7,0,7,1,4,1,0,7
288,2.99,1.0952733874026,0,0,1,3,1,0,0,1,12,4.84,1.57691472072854,0,1,2,1,1,2,1,0,0.4375,0.27,2,0,3,1,4,1,1,9
290,6.13,1.81319474994812,0,0,1,4,1,0,0,1,14,2.605,0.95743267520533,0,1,2,0,1,2,0,1,0.4875,0.42,5,0,7,0,3,1,0,9
291,2.48,0.908258560176891,0,0,1,0,0,0,0,0,12,2.805,1.03140353897466,0,1,1,1,1,2,1,0,0.4375,0.77,10,7,-1,1,5,0,0,0
292,3.15,1.14740245283754,0,0,1,4,1,1,0,1,14,2.68666666666667,0.988301267850427,0,1,2,0,1,1,1,1,0.4375,0.64,0,0,6,1,4,1,1,9
293,1.42,0.350656871613169,0,1,1,3,1,0,1,1,12,3.955,1.37498060121962,0,1,2,1,1,2,1,0,0.45,0.59,0,0,6,1,6,1,0,8
295,4.04,1.39624469197306,0,0,1,4,1,0,1,1,8,2.885,1.05952489996006,0,1,2,1,0,0,0,1,0.7875,0.05,2,0,7,0,4,1,1,8
297,5.31,1.66959183525385,0,0,0,4,1,0,1,1,14,2.83,1.04027671165515,0,1,2,1,1,2,1,1,0.675,0.09,0,0,6,0,4,0,2,6
298,6.28,1.83736998048011,0,0,1,3,1,0,0,1,18,3.36,1.21194097397511,0,1,2,1,1,1,1,1,0.55,0.23,6,0,5,0,5,1,0,10
313,4.88,1.58514521986506,0,1,1,1,0,0,0,1,16,12.115,2.49444435426849,0,1,2,0,1,2,0,1,0.55,0.55,2,0,6,0,4,0,0,0
314,5.36,1.67896397508271,0,1,0,4,1,0,0,1,16,8.235,2.1083933636296,0,1,2,1,1,2,0,0,0.45,0.49,3,0,4,0,4,1,1,7
